timestamp,theta_pot,button_state,tau_ext
1764750166.4422219,2.85,1.0,0.0
1764750166.444208,3.12,1.0,0.0
1764750166.6265252,2.85,1.0,0.0
1764750166.626784,2.85,1.0,0.0
1764750166.8122065,3.12,1.0,0.0
1764750166.812438,2.85,1.0,0.0
1764750167.063343,3.12,1.0,0.0
1764750167.0636396,2.85,1.0,0.0
1764750167.2498672,2.85,1.0,0.0
1764750167.2501385,3.12,1.0,0.0
1764750167.4379997,2.85,1.0,0.0
1764750167.4386978,2.85,1.0,0.0
1764750167.625304,3.12,1.0,0.0
1764750167.6257234,3.12,1.0,0.0
1764750167.8783915,2.85,1.0,0.0
1764750167.8791046,3.12,1.0,0.0
1764750168.0639017,3.12,1.0,0.0
1764750168.0646176,2.85,1.0,0.0
1764750168.252301,3.12,1.0,0.0
1764750168.2529478,2.85,1.0,0.0
1764750168.4405658,2.85,1.0,0.0
1764750168.4407957,3.12,1.0,0.0
1764750168.6918578,2.85,1.0,0.0
1764750168.6920626,2.85,1.0,0.0
1764750168.880517,3.12,1.0,0.0
1764750168.8807237,2.85,1.0,0.0
1764750169.067509,2.85,1.0,0.0
1764750169.0677457,3.12,1.0,0.0
1764750169.3197148,2.85,1.0,0.0
1764750169.3201256,2.85,1.0,0.0
1764750169.320471,2.85,1.0,0.0
1764750169.5075357,3.12,1.0,0.0
1764750169.5079963,2.85,1.0,0.0
1764750169.6979377,3.12,1.0,0.0
1764750169.698548,2.85,1.0,0.0
1764750169.9207013,3.12,1.0,0.0
1764750169.9209285,2.85,1.0,0.0
1764750170.081125,3.12,1.0,0.0
1764750170.0818455,2.85,1.0,0.0
1764750170.3317654,2.85,1.0,0.0
1764750170.332266,2.85,1.0,0.0
1764750170.517676,3.12,1.0,0.0
1764750170.5179124,2.85,1.0,0.0
1764750170.7039201,3.12,1.0,0.0
1764750170.7045307,3.12,1.0,0.0
1764750170.8925095,2.85,1.0,0.0
1764750170.8940217,2.85,1.0,0.0
1764750171.1466644,2.85,1.0,0.0
1764750171.152807,2.85,1.0,0.0
1764750171.3328643,3.12,1.0,0.0
1764750171.3335497,3.12,1.0,0.0
1764750171.5230696,3.12,1.0,0.0
1764750171.5237412,3.12,1.0,0.0
1764750171.710376,3.12,1.0,0.0
1764750171.7106068,2.85,1.0,0.0
1764750171.9586403,3.12,1.0,0.0
1764750171.9589522,3.12,1.0,0.0
1764750172.1461127,2.85,1.0,-0.02119
1764750172.1464467,2.85,1.0,-0.07487
1764750172.3350132,3.38,1.0,-0.09775
1764750172.3367667,-0.84,1.0,-0.06285
1764750172.5252268,-2.43,1.0,-0.01995
1764750172.5259025,-3.22,1.0,0.06358
1764750172.776735,-2.95,1.0,0.06697
1764750172.7792046,-2.69,1.0,0.01251
1764750172.9614878,-1.11,1.0,0.02983
1764750172.9622755,1.27,1.0,-0.06861
1764750173.1487076,1.0,1.0,-0.05037
1764750173.1491597,0.21,1.0,0.02328
1764750173.3364418,-0.84,1.0,0.0
1764750173.3366864,-0.84,1.0,0.0
1764750173.5888553,-0.84,1.0,0.0
1764750173.5890105,-0.84,1.0,0.0
1764750173.775503,-1.37,1.0,0.0
1764750173.7758253,-2.16,1.0,-0.09467
1764750173.9643154,-3.22,1.0,-0.16682
1764750173.9648573,-7.44,1.0,-0.22462
1764750174.1531038,-13.51,1.0,-0.17605
1764750174.1533363,-19.32,1.0,-0.15992
1764750174.4067292,-25.65,1.0,-0.13321
1764750174.406891,-30.4,1.0,-0.10075
1764750174.593348,-33.31,1.0,-0.05165
1764750174.5935853,-34.36,1.0,0.11259
1764750174.783232,-34.89,1.0,0.20601
1764750174.7834058,-30.4,1.0,0.20644
1764750174.9731498,-24.07,1.0,0.21944
1764750174.973387,-16.94,1.0,0.18699
1764750174.9736104,-11.4,1.0,0.19262
1764750175.224736,-4.8,1.0,0.18248
1764750175.2249606,1.27,1.0,0.10009
1764750175.415104,5.75,1.0,-0.07793
1764750175.4156778,6.28,1.0,-0.13131
1764750175.604242,4.17,1.0,0.04762
1764750175.6049454,3.64,1.0,0.0
1764750175.7932165,3.64,1.0,0.0
1764750175.7938917,3.91,1.0,0.0
1764750176.0438707,3.91,1.0,0.0
1764750176.0444999,3.91,1.0,0.0
1764750176.231226,3.91,1.0,0.0
1764750176.2318876,3.91,1.0,0.0
1764750176.422484,3.64,1.0,0.0
1764750176.4231498,3.64,1.0,0.0
1764750176.6098166,3.64,1.0,0.0
1764750176.610234,4.17,1.0,0.0
1764750176.8617034,4.44,1.0,0.0
1764750176.8623674,3.91,1.0,0.0
1764750177.0504653,4.44,1.0,0.0
1764750177.051601,3.91,1.0,0.0
1764750177.2393627,3.91,1.0,0.0
1764750177.2396607,3.91,1.0,0.0
