timestamp,theta_pot,button_state,tau_ext
1764838649.0763764,-2.95,1.0,0.0
1764838649.0770037,-3.22,1.0,0.2587
1764838649.2640734,2.85,1.0,0.22901
1764838649.2646332,8.13,1.0,0.24575
1764838649.4534917,12.35,1.0,0.25311
1764838649.4542816,16.84,1.0,0.25119
1764838649.642745,20.01,1.0,0.25049
1764838649.6430643,22.38,1.0,0.25197
1764838649.8949332,25.29,1.0,0.25358
1764838649.896652,27.13,1.0,0.238
1764838650.0690076,28.45,1.0,0.1582
1764838650.0692952,28.45,1.0,0.17794
1764838650.2836833,28.45,1.0,0.04686
1764838650.2841094,24.76,1.0,0.09781
1764838650.504256,20.53,1.0,-0.07546
1764838650.5047061,13.14,1.0,0.0
1764838650.6675627,7.6,1.0,-0.07019
1764838650.6678462,0.74,1.0,-0.12529
1764838650.8976398,-4.54,1.0,-0.11505
1764838650.8978968,-9.03,1.0,-0.11075
1764838651.086772,-11.93,1.0,-0.14864
1764838651.0870948,-14.57,1.0,-0.16311
1764838651.272994,-16.42,1.0,0.12712
1764838651.273345,-13.78,1.0,0.10018
1764838651.539914,-9.82,1.0,0.11303
1764838651.5401032,-5.59,1.0,0.11577
1764838651.728235,-5.33,1.0,0.12051
1764838651.7285419,-5.33,1.0,0.09561
1764838651.9166849,-5.33,1.0,0.09388
1764838651.916948,-5.33,1.0,0.08463
1764838652.104744,-5.33,1.0,0.07764
1764838652.1050518,-5.33,1.0,0.07967
1764838652.2925725,-5.33,1.0,0.08205
1764838652.2928898,-5.33,1.0,0.08473
1764838652.2931316,-5.33,1.0,0.0868
1764838652.5336766,-5.59,1.0,0.09062
1764838652.5339346,-5.33,1.0,0.09968
1764838652.7131596,-5.33,1.0,0.11034
1764838652.7137432,-5.07,1.0,0.12399
1764838652.9007416,-5.59,1.0,0.12587
1764838652.9021697,-5.33,1.0,0.13362
1764838653.1511056,-5.33,1.0,0.12359
1764838653.1515086,-5.33,1.0,0.14115
1764838653.338689,-5.33,1.0,0.19102
1764838653.3390055,-5.33,1.0,0.17636
1764838653.527349,-5.33,1.0,0.17925
1764838653.5277312,-5.33,1.0,0.07527
1764838653.7154698,-5.33,1.0,-0.02211
1764838653.7158666,-5.33,1.0,-0.17076
1764838653.9506364,-5.33,1.0,-0.22429
1764838653.9510858,-5.59,1.0,-0.28907
1764838654.1420527,-5.59,1.0,-0.39785
1764838654.1424942,-5.33,1.0,-0.46846
1764838654.331744,-5.59,1.0,-0.51678
1764838654.3321955,-5.33,1.0,-0.44088
1764838654.5857337,-5.59,1.0,-0.21544
1764838654.5861466,-5.33,1.0,0.0
1764838654.7755225,-5.33,1.0,0.0
1764838654.7764113,-5.33,1.0,-0.02896
1764838654.9625015,-5.33,1.0,0.0
1764838654.962997,-5.33,1.0,0.0
1764838655.154489,-5.33,1.0,0.0
1764838655.1548312,-5.33,1.0,0.02016
1764838655.406334,-5.59,1.0,0.04762
1764838655.406769,-5.33,1.0,0.03818
1764838655.5938222,-5.33,1.0,0.05665
1764838655.5943947,-5.33,1.0,0.05877
1764838655.7804444,-5.33,1.0,0.04826
1764838655.781004,-5.59,1.0,0.03489
1764838655.967168,-5.59,1.0,0.02562
1764838655.9675214,-5.07,1.0,0.0
1764838656.2360291,-5.33,1.0,0.0
1764838656.2362268,-5.59,1.0,0.0
1764838656.439735,-5.33,1.0,-0.02032
