timestamp,theta_pot,button_state,tau_ext
1764838926.0715494,6.55,1.0,0.0
1764838926.071851,6.55,1.0,0.0
1764838926.2612984,6.55,1.0,0.0
1764838926.261775,6.55,1.0,0.0
1764838926.4490983,6.81,1.0,0.0
1764838926.449884,6.81,1.0,0.0
1764838926.682554,6.55,1.0,0.0
1764838926.6833098,6.81,1.0,0.0
1764838926.855401,6.55,1.0,0.0
1764838926.855963,6.81,1.0,0.0
1764838927.1500423,6.55,1.0,0.0
1764838927.1518867,6.55,1.0,0.0
1764838927.276064,6.55,1.0,0.0
1764838927.27653,6.55,1.0,0.0
1764838927.466318,6.55,1.0,0.0
1764838927.4666204,6.28,1.0,0.0
1764838927.7028918,6.55,1.0,0.0
1764838927.7033064,6.55,1.0,0.0
1764838927.906755,6.55,1.0,0.0
1764838927.9071586,6.55,1.0,0.0
1764838928.128109,6.55,1.0,0.0
1764838928.1283221,6.55,1.0,0.0
1764838928.3303542,6.55,1.0,0.0
1764838928.3307374,6.55,1.0,0.0
1764838928.4997742,6.81,1.0,0.0
1764838928.4999166,6.55,1.0,0.0
1764838928.7147102,6.55,1.0,0.0
1764838928.7150903,6.55,1.0,0.0
1764838928.926959,6.55,1.0,0.0
1764838928.9274464,6.55,1.0,0.0
1764838929.139286,6.81,1.0,0.0
1764838929.139698,6.81,1.0,0.0
1764838929.349165,6.55,1.0,0.0
1764838929.3495257,6.81,1.0,0.0
1764838929.5341454,6.81,1.0,0.0
1764838929.5345557,6.55,1.0,0.0
1764838929.752847,6.81,1.0,0.0
1764838929.7532773,6.81,1.0,0.0
1764838929.9134579,6.55,1.0,0.0
1764838929.9136019,6.81,1.0,0.0
1764838930.151224,6.55,1.0,0.0
1764838930.152038,6.55,1.0,0.0
1764838930.3227055,6.55,1.0,0.0
1764838930.323169,6.81,1.0,0.0
1764838930.3236375,6.55,1.0,0.0
1764838930.5382516,6.55,1.0,0.0
1764838930.5384586,6.55,1.0,0.0
1764838930.7303634,6.55,1.0,0.0
1764838930.731104,6.81,1.0,0.0
1764838930.964771,6.55,1.0,0.0
1764838930.9661472,6.55,1.0,0.0
1764838931.1846974,6.55,1.0,0.0
1764838931.1851811,6.55,1.0,0.0
1764838931.3464496,6.55,1.0,0.0
1764838931.3467278,6.55,1.0,0.0
1764838931.5725415,6.55,1.0,0.0
1764838931.5730934,6.55,1.0,0.0
1764838931.7467737,6.55,1.0,0.0
1764838931.7472064,6.55,1.0,0.0
1764838931.9823499,6.55,1.0,0.0
1764838931.9831905,6.55,1.0,0.0
1764838932.1705818,6.81,1.0,-0.07823
1764838932.1709354,6.81,1.0,-0.03069
1764838932.357265,6.55,1.0,-0.05322
1764838932.3577092,6.55,1.0,0.0
1764838932.5974202,6.55,1.0,-0.05595
1764838932.5980823,6.55,1.0,-0.18048
1764838932.78497,6.81,1.0,-0.31465
1764838932.785272,6.81,1.0,-0.33289
1764838932.977715,6.81,1.0,-0.32872
1764838932.9785311,6.81,1.0,-0.33383
1764838933.2256196,6.81,1.0,-0.3391
1764838933.2262204,6.81,1.0,-0.34439
1764838933.4115198,6.55,1.0,-0.34641
1764838933.4121964,6.81,1.0,-0.34737
1764838933.6000829,6.55,1.0,-0.34494
1764838933.6006424,6.55,1.0,-0.34203
1764838933.8520074,6.81,1.0,-0.33828
1764838933.8522363,6.55,1.0,-0.30965
1764838934.0381622,6.55,1.0,-0.28302
1764838934.0385146,6.81,1.0,-0.28901
1764838934.2245057,6.81,1.0,-0.29088
1764838934.2250059,6.81,1.0,-0.28362
1764838934.4112194,6.81,1.0,-0.28824
1764838934.41168,6.81,1.0,-0.27411
1764838934.5979016,6.55,1.0,-0.28039
1764838934.5980864,6.81,1.0,-0.28156
1764838934.8475778,6.81,1.0,-0.27468
1764838934.8480053,6.81,1.0,-0.27827
1764838935.0361907,6.81,1.0,-0.28279
1764838935.036576,6.81,1.0,-0.28921
1764838935.223235,6.81,1.0,-0.28069
1764838935.2236755,6.81,1.0,-0.27784
1764838935.41152,6.81,1.0,-0.28155
1764838935.4118457,6.81,1.0,-0.27756
1764838935.66376,6.81,1.0,-0.27906
1764838935.6642187,6.81,1.0,-0.2775
1764838935.8418489,6.81,1.0,-0.27875
1764838935.8420079,6.81,1.0,-0.27214
1764838936.332448,6.81,1.0,-0.26757
1764838936.4471579,6.81,1.0,-0.26774
1764838936.4473617,6.81,1.0,-0.27084
1764838936.6676686,6.81,1.0,-0.2701
1764838936.6680195,6.81,1.0,-0.26499
1764838936.8551319,6.81,1.0,-0.25969
1764838936.855417,6.81,1.0,-0.25864
1764838936.8556213,6.81,1.0,-0.26395
1764838937.0448136,6.81,1.0,-0.26424
1764838937.045458,6.81,1.0,-0.26452
1764838937.29264,6.81,1.0,-0.26125
1764838937.2930706,6.81,1.0,-0.26088
1764838937.481844,6.81,1.0,-0.26156
1764838937.4821768,6.81,1.0,-0.25824
1764838937.6668575,6.81,1.0,-0.25718
1764838937.6671638,6.81,1.0,-0.25875
1764838937.8731287,6.81,1.0,-0.25919
1764838937.8733003,6.55,1.0,-0.25727
1764838938.0923388,6.81,1.0,-0.26174
1764838938.0926409,6.81,1.0,-0.25985
1764838938.2809508,6.81,1.0,-0.25907
1764838938.281785,6.81,1.0,-0.25631
