timestamp,theta_pot,button_state,tau_ext
1764839266.1231878,9.98,1.0,0.0
1764839266.1239414,10.24,1.0,0.0
1764839266.1798384,9.98,1.0,0.0
1764839266.1800075,10.24,1.0,0.0
1764839266.3722348,10.24,1.0,0.0
1764839266.3727036,9.98,1.0,0.0
1764839266.5444627,10.24,1.0,0.0
1764839266.5447776,10.24,1.0,0.0
1764839266.778384,10.24,1.0,0.0
1764839266.7786252,10.24,1.0,0.0
1764839266.9649785,9.98,1.0,0.0
1764839266.9653888,9.98,1.0,0.0
1764839267.2004972,9.98,1.0,0.0
1764839267.2013986,10.24,1.0,0.0
1764839267.3606498,10.24,1.0,0.0
1764839267.3607996,10.24,1.0,0.0
1764839267.5693922,10.24,1.0,0.0
1764839267.5697842,10.24,1.0,0.0
1764839267.7956,10.24,1.0,0.0
1764839267.7959173,10.24,1.0,0.0
1764839267.9829338,10.24,1.0,0.0
1764839267.9832635,9.98,1.0,0.0
1764839268.1725965,10.24,1.0,0.0
1764839268.172841,10.24,1.0,0.0
1764839268.4131367,10.24,1.0,0.0
1764839268.413315,10.24,1.0,0.0
1764839268.6190312,10.24,1.0,0.0
1764839268.6192763,9.98,1.0,0.0
1764839268.8015785,10.24,1.0,0.0
1764839268.8017635,10.24,1.0,0.0
1764839268.9935849,10.24,1.0,0.0
1764839268.993797,9.98,1.0,0.0
1764839269.243087,10.24,1.0,0.0
1764839269.2432885,10.24,1.0,0.0
1764839269.4166834,10.24,1.0,0.0
1764839269.4171212,9.98,1.0,0.0
1764839269.6330864,10.24,1.0,0.0
1764839269.6332827,9.98,1.0,0.0
1764839269.8547537,9.98,1.0,0.0
1764839269.8551912,10.24,1.0,0.0
1764839270.0106916,10.24,1.0,0.0
1764839270.0108385,10.24,1.0,0.0
1764839270.010982,9.98,1.0,0.0
1764839270.2491333,10.24,1.0,0.0
1764839270.2496266,10.24,1.0,0.0
1764839270.4645736,10.24,1.0,0.0
1764839270.4648092,10.24,1.0,0.0
1764839270.6244173,10.24,1.0,0.0
1764839270.6246498,10.24,1.0,0.0
1764839270.8553739,10.24,1.0,0.0
1764839270.8558507,10.24,1.0,0.0
1764839271.0275426,9.98,1.0,0.0
1764839271.0278435,10.24,1.0,0.0
1764839271.2332397,10.24,1.0,0.0
1764839271.2334402,10.24,1.0,0.0
1764839271.4573965,10.24,1.0,0.0
1764839271.4578922,10.24,1.0,0.0
1764839271.6811721,9.98,1.0,0.0
1764839271.6814241,9.98,1.0,-0.05086
1764839271.85701,9.98,1.0,0.0
1764839271.8571742,10.24,1.0,-0.03502
1764839272.065445,10.51,1.0,0.0
1764839272.0658445,10.51,1.0,0.0
1764839272.2769413,10.24,1.0,-0.14529
1764839272.2771332,10.24,1.0,-0.10293
1764839272.450923,10.24,1.0,-0.05953
1764839272.4511988,10.24,1.0,-0.09807
1764839272.7002614,9.98,1.0,-0.14344
1764839272.7005002,10.24,1.0,0.0
1764839272.8862286,10.24,1.0,0.0
1764839272.88655,10.24,1.0,-0.05604
1764839273.072983,9.98,1.0,-0.03188
1764839273.0734518,10.24,1.0,-0.24865
1764839273.308277,9.98,1.0,-0.32436
1764839273.3094244,10.24,1.0,-0.29381
1764839273.4859166,10.24,1.0,-0.23386
1764839273.486699,10.24,1.0,-0.15031
1764839273.7130294,9.98,1.0,-0.12884
1764839273.7134144,10.24,1.0,-0.13065
1764839273.900537,10.24,1.0,-0.14621
1764839273.9012883,10.24,1.0,-0.17709
1764839274.088053,10.24,1.0,-0.21624
1764839274.08863,9.98,1.0,-0.23697
1764839274.2755075,10.24,1.0,-0.26434
1764839274.275849,10.24,1.0,-0.27718
1764839274.5055428,10.24,1.0,-0.27672
1764839274.505942,10.24,1.0,-0.26911
1764839274.6947834,10.24,1.0,-0.26854
1764839274.6951747,10.24,1.0,-0.26469
1764839274.9477048,9.98,1.0,-0.2673
1764839274.9483461,10.24,1.0,-0.26449
1764839275.1184356,9.98,1.0,-0.27645
1764839275.1192455,10.24,1.0,-0.26965
1764839275.305044,9.98,1.0,-0.27285
1764839275.3055935,10.24,1.0,-0.28229
1764839275.5560021,9.98,1.0,-0.29504
1764839275.5564992,10.24,1.0,-0.29838
1764839275.7299578,10.24,1.0,-0.29633
1764839275.7304237,10.24,1.0,-0.29051
1764839275.9793158,10.24,1.0,-0.28818
1764839275.9795475,9.98,1.0,-0.29234
1764839276.1682148,10.24,1.0,-0.29522
1764839276.1686647,10.24,1.0,-0.29556
1764839276.3562448,10.24,1.0,-0.30361
1764839276.356955,10.24,1.0,-0.29509
1764839276.544111,10.24,1.0,-0.29236
1764839276.544614,10.24,1.0,-0.29331
1764839276.729923,10.24,1.0,-0.29176
1764839276.7304685,10.24,1.0,-0.29761
1764839276.9773276,10.24,1.0,-0.30336
1764839276.9778867,10.24,1.0,-0.30835
1764839277.1640606,10.24,1.0,-0.31477
