timestamp,theta_pot,button_state,tau_ext
1764854076.3861783,0.54,1.0,-0.06467
1764854076.3861783,-16.54,1.0,-0.06486
1764854076.3871808,-16.8,1.0,-0.06487
1764854076.3871808,-16.8,1.0,-0.06473
1764854076.3871808,-16.54,1.0,-0.06491
1764854076.3871808,0.0,1.0,-0.06477
1764854076.3881795,-16.8,1.0,-0.06477
1764854076.3881795,-16.54,1.0,-0.06467
1764854076.3881795,-16.54,1.0,-0.06486
1764854076.3881795,-16.8,1.0,-0.06487
1764854076.3881795,-16.8,1.0,-0.06473
1764854076.3881795,-16.54,1.0,-0.06491
1764854077.4383082,-16.8,1.0,0.0
1764854077.4383082,-16.8,1.0,0.0
1764854077.6655216,-16.8,1.0,0.0
1764854077.6664522,-16.54,1.0,0.07697
1764854077.8549254,-16.27,1.0,0.12807
1764854077.8558831,-13.11,1.0,0.03102
1764854078.0413568,-12.05,1.0,0.0
1764854078.0413568,-12.05,1.0,0.0
1764854078.2631593,-11.79,1.0,0.0
1764854078.2631593,-12.05,1.0,0.0
1764854078.4761517,-11.79,1.0,0.0
1764854078.4761517,-11.79,1.0,0.0
1764854078.6378875,-11.79,1.0,0.0
1764854078.6389358,-11.79,1.0,0.0
1764854078.879573,-11.79,1.0,0.0
1764854078.879573,-12.05,1.0,0.0
1764854079.0646415,-11.79,1.0,0.0
1764854079.0646415,-11.79,1.0,0.0
1764854079.2506015,-11.79,1.0,0.0
1764854079.2506015,-11.79,1.0,0.0
1764854079.5003562,-12.05,1.0,0.0
1764854079.5003562,-11.79,1.0,0.0
1764854079.6862957,-12.05,1.0,0.0
1764854079.68714,-11.79,1.0,0.0
1764854079.8747556,-12.05,1.0,0.0
1764854079.8747556,-11.79,1.0,0.0
1764854080.0615475,-11.79,1.0,0.0
1764854080.0615475,-11.79,1.0,0.0
1764854080.3081152,-11.79,1.0,0.0
1764854080.3081152,-11.79,1.0,0.0
1764854080.4941733,-12.05,1.0,0.0
1764854080.4941733,-11.79,1.0,0.0
1764854080.6779432,-11.79,1.0,0.0
1764854080.6789086,-11.79,1.0,0.0
1764854080.8663905,-12.05,1.0,0.0
1764854080.8663905,-11.79,1.0,0.0
1764854081.1146898,-12.05,1.0,0.0
1764854081.1146898,-11.79,1.0,0.0
1764854081.3023584,-12.05,1.0,0.0
1764854081.3023584,-11.79,1.0,0.0
1764854081.4878545,-12.05,1.0,0.0
1764854081.4878545,-11.79,1.0,0.0
1764854081.6751297,-11.79,1.0,0.0
1764854081.6751297,-11.79,1.0,0.0
1764854081.9238472,-12.05,1.0,0.0
1764854081.9238472,-11.79,1.0,0.0
1764854082.1115127,-11.79,1.0,0.0
1764854082.1115127,-11.79,1.0,0.0
1764854082.2982092,-12.05,1.0,0.0
1764854082.2982092,-11.79,1.0,0.0
1764854082.4847522,-11.79,1.0,0.0
1764854082.4847522,-11.79,1.0,0.0
1764854082.7336035,-12.05,1.0,0.0
1764854082.7336035,-12.05,1.0,0.0
1764854082.9207125,-11.79,1.0,0.0
1764854082.9217007,-12.05,1.0,0.0
1764854083.107786,-11.79,1.0,0.0
1764854083.107786,-11.79,1.0,0.0
1764854083.2940805,-11.79,1.0,0.0
1764854083.2940805,-12.05,1.0,0.0
1764854083.542194,-11.79,1.0,0.0
1764854083.542194,-12.05,1.0,0.0
1764854083.7278879,-11.79,1.0,0.0
1764854083.7278879,-11.79,1.0,0.0
1764854083.9155266,-11.79,1.0,0.0
1764854083.9155266,-12.05,1.0,0.0
1764854084.1626072,-11.79,1.0,0.0
1764854084.1635392,-11.79,1.0,0.0
1764854084.3507473,-11.79,1.0,0.0
1764854084.3507473,-11.79,1.0,0.0
1764854084.5360866,-11.79,1.0,0.0
1764854084.5360866,-11.79,1.0,0.0
1764854084.7242439,-11.79,1.0,0.0
1764854084.7242439,-12.05,1.0,0.0
1764854084.9072924,-12.05,1.0,0.0
1764854084.9081728,-11.79,1.0,0.0
1764854085.1553192,-11.79,1.0,0.0
1764854085.1553192,-12.05,1.0,0.0
1764854085.3298016,-11.79,1.0,0.0
1764854085.3298016,-11.79,1.0,0.0
1764854085.5129535,-11.79,1.0,0.0
1764854085.5129535,-11.79,1.0,0.0
1764854085.7643926,-11.79,1.0,0.0
1764854085.7643926,-11.79,1.0,0.0
1764854085.920706,-12.05,1.0,0.0
1764854085.9216814,-11.79,1.0,0.0
1764854085.9216814,-12.05,1.0,0.0
1764854086.1271048,-11.79,1.0,0.0
1764854086.1271048,-11.79,1.0,0.0
1764854086.3346415,-11.79,1.0,0.0
1764854086.3346415,-11.79,1.0,0.0
1764854086.5568082,-11.79,1.0,0.0
1764854086.5568082,-11.79,1.0,0.0
1764854086.7449448,-11.79,1.0,0.0
1764854086.7449448,-12.05,1.0,0.0
1764854086.9306564,-12.05,1.0,0.0
1764854086.9306564,-11.79,1.0,0.0
1764854087.1778789,-11.79,1.0,0.0
1764854087.1778789,-12.05,1.0,0.0
1764854087.3666267,-10.73,1.0,0.1344
1764854087.3666267,-10.73,1.0,-0.31849
1764854087.5846775,-16.27,1.0,-0.04201
1764854087.5857034,-19.18,1.0,-0.16669
1764854087.7710736,-22.34,1.0,-0.14564
1764854087.7710736,-25.77,1.0,-0.0808
1764854087.9974072,-28.41,1.0,-0.07374
1764854087.9984066,-29.47,1.0,-0.02862
1764854088.1806946,-32.9,1.0,-0.02192
1764854088.1806946,-33.69,1.0,-0.02625
1764854088.3837261,-32.9,1.0,0.0
1764854088.3837261,-32.9,1.0,0.0
1764854088.5571113,-32.9,1.0,0.0
1764854088.5571113,-32.9,1.0,0.0
1764854088.7766676,-32.9,1.0,0.0
1764854088.7766676,-33.16,1.0,0.0
1764854088.9901402,-33.16,1.0,0.0
1764854088.9901402,-32.9,1.0,0.0
1764854089.200359,-33.16,1.0,0.0
1764854089.200359,-32.9,1.0,0.0
1764854089.4229577,-33.16,1.0,0.0
1764854089.4229577,-32.9,1.0,0.02295
1764854089.602363,-32.9,1.0,0.0351
1764854089.602363,-32.9,1.0,0.0388
1764854089.7901685,-32.9,1.0,0.03788
1764854089.7901685,-33.16,1.0,0.0385
1764854089.9783263,-32.9,1.0,0.03519
1764854089.9783263,-32.9,1.0,0.03401
1764854090.2155366,-32.9,1.0,0.03079
1764854090.2155366,-32.9,1.0,0.0328
1764854090.3912055,-32.9,1.0,0.04509
