timestamp,theta_pot,button_state,tau_ext
1764840056.5097408,11.03,1.0,0.0
1764840056.5102262,11.03,1.0,0.17536
1764840056.6977324,14.2,1.0,0.10426
1764840056.6994414,17.9,1.0,0.05746
1764840056.8845634,20.8,1.0,0.08076
1764840056.8849618,21.33,1.0,0.0
1764840057.1354475,21.33,1.0,-0.08643
1764840057.1361685,16.58,1.0,-0.02733
1764840057.3226438,14.99,1.0,0.11052
1764840057.32286,14.46,1.0,0.13168
1764840057.5101738,17.9,1.0,0.08688
1764840057.510403,17.9,1.0,-0.12932
1764840057.697535,17.9,1.0,-0.11583
1764840057.6978018,13.41,1.0,0.0
1764840057.9297497,12.62,1.0,0.11699
1764840057.9299219,12.35,1.0,-0.02724
1764840058.0940268,12.35,1.0,-0.10491
1764840058.0944347,12.62,1.0,-0.09866
1764840058.3081505,9.71,1.0,0.0
1764840058.3088222,9.71,1.0,0.07711
1764840058.5196714,9.71,1.0,0.10135
1764840058.5200999,12.35,1.0,0.03215
1764840058.7345164,13.67,1.0,-0.02171
1764840058.7347858,13.67,1.0,-0.07824
1764840058.9011202,13.94,1.0,-0.09415
1764840058.9015422,11.3,1.0,0.04799
1764840059.1183069,10.77,1.0,0.11589
1764840059.1184616,11.56,1.0,0.10121
1764840059.359457,13.41,1.0,0.0
1764840059.3597775,14.73,1.0,-0.04992
1764840059.534562,14.73,1.0,0.0
1764840059.534867,14.73,1.0,0.0
1764840059.8340187,15.52,1.0,0.0
1764840059.8343832,16.58,1.0,-0.04616
1764840059.9402082,16.58,1.0,-0.04852
1764840059.9407573,16.58,1.0,0.0
1764840060.1288292,16.84,1.0,-0.03009
1764840060.1291552,16.58,1.0,-0.0363
1764840060.3793833,16.84,1.0,-0.06025
1764840060.3795385,16.84,1.0,-0.06228
1764840060.5684767,17.9,1.0,-0.06512
1764840060.568733,17.63,1.0,-0.09645
1764840060.5689414,17.37,1.0,-0.11155
1764840060.739903,17.9,1.0,-0.13384
1764840060.7401948,17.9,1.0,-0.13818
1764840060.9668357,18.16,1.0,-0.07442
1764840060.9674048,17.9,1.0,0.0
1764840061.182247,17.63,1.0,0.04269
1764840061.1825867,18.16,1.0,-0.08747
1764840061.3476963,19.48,1.0,0.0
1764840061.347952,19.74,1.0,0.0
1764840061.5974526,20.8,1.0,-0.04307
1764840061.5977376,21.06,1.0,-0.10251
1764840061.7834363,21.33,1.0,-0.08345
1764840061.7835877,21.33,1.0,0.0
1764840061.9703004,21.59,1.0,0.02036
1764840061.9704914,21.85,1.0,0.0
1764840062.1727672,22.65,1.0,0.0
1764840062.173008,23.17,1.0,-0.02761
1764840062.4089203,22.91,1.0,-0.03615
1764840062.4095843,23.17,1.0,-0.0433
1764840062.5742626,23.44,1.0,-0.05004
1764840062.574412,23.17,1.0,-0.06028
1764840062.7843106,23.17,1.0,-0.06649
1764840062.7844574,23.44,1.0,-0.06798
1764840063.0202978,23.7,1.0,-0.06719
1764840063.0205255,23.44,1.0,-0.07939
1764840063.2076411,23.17,1.0,-0.07637
1764840063.2077885,23.44,1.0,-0.0612
1764840063.3942778,23.44,1.0,-0.06577
1764840063.3945265,23.44,1.0,-0.06823
1764840063.5823755,23.44,1.0,-0.06475
1764840063.582846,23.44,1.0,-0.06048
1764840063.8308544,23.44,1.0,-0.05851
1764840063.8311162,23.44,1.0,-0.07345
1764840064.0202181,23.44,1.0,-0.05779
1764840064.0204782,23.44,1.0,-0.04724
1764840064.2085211,23.44,1.0,-0.06303
1764840064.2088008,23.44,1.0,-0.09375
1764840064.3946562,23.44,1.0,-0.13128
1764840064.3949113,23.7,1.0,-0.10605
1764840064.645074,23.44,1.0,-0.09524
1764840064.645297,23.44,1.0,-0.0925
1764840064.8328464,23.7,1.0,-0.08923
1764840064.833067,23.7,1.0,-0.0967
1764840065.0198343,23.7,1.0,-0.10009
1764840065.0200841,23.7,1.0,-0.10347
1764840065.2719452,23.7,1.0,-0.11086
1764840065.2720912,23.7,1.0,-0.10705
1764840065.4587147,23.44,1.0,-0.12213
1764840065.4589517,23.7,1.0,-0.14213
1764840065.6465757,23.44,1.0,-0.14305
1764840065.6468186,23.7,1.0,-0.15109
1764840065.8350835,23.7,1.0,-0.16008
1764840065.835221,23.7,1.0,-0.16766
1764840066.0868745,23.7,1.0,-0.15517
1764840066.0871801,23.7,1.0,-0.14133
1764840066.2755187,23.7,1.0,-0.13828
1764840066.275937,23.44,1.0,-0.13474
1764840066.464523,23.7,1.0,-0.15892
1764840066.4648802,23.44,1.0,-0.1781
1764840066.6510022,23.7,1.0,-0.16599
1764840066.6513462,23.44,1.0,-0.15114
1764840066.8390553,23.7,1.0,-0.15296
1764840066.839318,23.7,1.0,-0.15655
1764840067.0704978,23.7,1.0,-0.16073
1764840067.0707493,23.7,1.0,-0.18034
1764840067.2863824,23.7,1.0,-0.17186
1764840067.2865403,23.7,1.0,-0.16821
1764840067.4471798,23.44,1.0,-0.17532
1764840067.4473934,23.44,1.0,-0.16709
1764840067.6623225,23.7,1.0,-0.16852
1764840067.6624892,23.7,1.0,-0.18459
1764840067.8823693,23.7,1.0,-0.18216
1764840067.882596,23.7,1.0,-0.18051
1764840068.0989428,23.44,1.0,-0.18359
1764840068.099159,23.7,1.0,-0.19128
1764840068.2625458,23.44,1.0,-0.20073
1764840068.262795,23.7,1.0,-0.20458
1764840068.494646,23.7,1.0,-0.20986
1764840068.4949021,23.44,1.0,-0.20927
1764840068.4951289,23.7,1.0,-0.20892
1764840068.6822858,23.7,1.0,-0.21061
1764840068.6829622,23.7,1.0,-0.18636
1764840069.1016173,23.44,1.0,-0.18034
1764840069.2787776,23.7,1.0,-0.18215
1764840069.279,23.7,1.0,-0.18104
1764840069.5322635,23.7,1.0,-0.17304
1764840069.5327592,23.44,1.0,-0.17645
1764840069.7191963,23.7,1.0,-0.17294
1764840069.7193396,23.7,1.0,-0.16881
1764840069.906869,23.7,1.0,-0.15063
1764840069.9071279,23.7,1.0,-0.14676
1764840070.1100032,23.7,1.0,-0.15505
1764840070.1102097,23.7,1.0,-0.16202
1764840070.2966156,23.7,1.0,-0.1635
1764840070.2968636,23.7,1.0,-0.17603
1764840070.5502586,23.7,1.0,-0.17278
1764840070.5504005,23.7,1.0,-0.16481
1764840070.7102475,23.7,1.0,-0.16281
1764840070.7103972,23.7,1.0,-0.175
1764840070.934563,23.7,1.0,-0.17416
1764840070.9347217,23.44,1.0,-0.16569
1764840070.9348626,23.7,1.0,-0.16793
1764840071.1611679,23.44,1.0,-0.16384
1764840071.4361134,23.7,1.0,-0.16458
1764840071.4362655,23.7,1.0,-0.16465
1764840071.4364073,23.7,1.0,-0.17019
1764840071.5534642,23.7,1.0,-0.18489
1764840071.553653,23.7,1.0,-0.18082
1764840071.7705388,23.7,1.0,-0.16771
1764840071.7706785,23.7,1.0,-0.16935
1764840071.9580255,23.7,1.0,-0.16842
1764840071.958168,23.44,1.0,-0.1633
1764840072.1454732,23.7,1.0,-0.16677
1764840072.1456542,23.97,1.0,-0.16454
1764840072.3364289,23.7,1.0,-0.16555
1764840072.336912,23.44,1.0,-0.16843
1764840072.5856824,23.97,1.0,-0.16566
1764840072.5858202,23.7,1.0,-0.17335
1764840072.7752512,23.7,1.0,-0.18443
1764840072.7754903,23.7,1.0,-0.1757
1764840072.9638162,23.7,1.0,-0.1737
1764840072.9640408,23.7,1.0,-0.18384
1764840073.151839,23.7,1.0,-0.19173
1764840073.1519833,23.7,1.0,-0.18545
1764840073.370127,23.44,1.0,-0.19306
1764840073.3702667,23.7,1.0,-0.19329
1764840073.5827823,23.7,1.0,-0.18157
1764840073.5829468,23.7,1.0,-0.17706
1764840073.7949214,23.7,1.0,-0.1812
1764840073.795319,23.7,1.0,-0.18329
1764840073.9843333,23.7,1.0,-0.17763
1764840073.98504,23.7,1.0,-0.18344
1764840074.1742208,23.7,1.0,-0.19129
1764840074.1743727,23.7,1.0,-0.19681
1764840074.4273622,23.7,1.0,-0.19914
1764840074.4276266,23.7,1.0,-0.19671
1764840074.6138513,23.44,1.0,-0.19424
1764840074.614268,23.7,1.0,-0.19397
1764840074.8383198,23.44,1.0,-0.19351
1764840074.8385854,23.7,1.0,-0.20411
1764840074.998487,23.44,1.0,-0.24439
1764840074.9987037,23.7,1.0,-0.20045
1764840075.2086248,23.44,1.0,-0.18215
1764840075.2088323,23.7,1.0,-0.18099
1764840075.4287221,23.7,1.0,-0.17118
1764840075.4288962,23.44,1.0,-0.18197
1764840075.6471574,23.7,1.0,-0.18908
1764840075.647666,23.7,1.0,-0.17673
1764840075.835809,23.7,1.0,-0.18269
1764840075.8361933,23.7,1.0,-0.18708
1764840076.023402,23.7,1.0,-0.19009
1764840076.0238135,23.7,1.0,-0.18249
1764840076.2708592,23.7,1.0,-0.18995
1764840076.2712474,23.7,1.0,-0.21317
1764840076.982638,23.7,1.0,-0.22118
1764840076.9829516,23.7,1.0,-0.2171
1764840076.9831824,23.7,1.0,-0.21458
1764840076.9834025,23.7,1.0,-0.21476
1764840076.9836247,23.7,1.0,-0.2116
1764840076.983842,23.7,1.0,-0.21484
1764840078.8498995,23.7,1.0,-0.2072
1764840079.0543127,23.7,1.0,-0.20353
1764840079.054629,23.44,1.0,-0.19428
1764840079.2581716,23.7,1.0,-0.19384
1764840079.2589955,23.7,1.0,-0.19446
1764840079.4622953,23.7,1.0,-0.1968
1764840079.4630046,23.7,1.0,-0.1979
1764840079.6663706,23.7,1.0,-0.18303
1764840079.666831,23.7,1.0,-0.17494
1764840079.8708055,23.7,1.0,-0.18687
1764840079.8713782,23.7,1.0,-0.19564
1764840080.0750358,23.7,1.0,-0.1919
1764840080.075239,23.44,1.0,-0.19358
1764840080.2769144,23.7,1.0,-0.1834
1764840080.2772188,23.44,1.0,-0.18972
1764840080.480184,23.7,1.0,-0.18286
1764840080.4812076,23.7,1.0,-0.18255
1764840080.6823225,23.7,1.0,-0.19018
1764840080.6828294,23.44,1.0,-0.19579
1764840080.8847578,23.7,1.0,-0.19889
1764840080.885106,23.7,1.0,-0.20038
1764840081.087719,23.7,1.0,-0.20235
1764840081.0881293,23.7,1.0,-0.1964
1764840081.2922242,23.7,1.0,-0.18744
