timestamp,theta_pot,button_state,tau_ext
1764840226.4180393,10.24,1.0,0.0
1764840226.4181879,14.2,1.0,-0.03103
1764840226.6696472,14.2,1.0,-0.02937
1764840226.6698952,14.46,1.0,-0.0262
1764840226.8575985,14.46,1.0,-0.02621
1764840226.8577938,14.2,1.0,-0.02617
1764840227.0467749,14.2,1.0,-0.02621
1764840227.0470092,14.2,1.0,-0.02016
1764840227.234832,14.2,1.0,0.05491
1764840227.2350724,14.46,1.0,0.26809
1764840227.4840753,23.44,1.0,0.60705
1764840227.4844553,36.63,1.0,0.44556
1764840227.6708977,46.4,1.0,0.11614
1764840227.6712706,47.72,1.0,-0.22905
1764840227.857546,33.73,1.0,-0.42692
1764840227.8578033,14.99,1.0,-0.77019
1764840228.0461934,-7.71,1.0,-0.67473
1764840228.0464458,-24.07,1.0,-0.24222
1764840228.2976305,-28.03,1.0,-0.12476
1764840228.2978647,-25.13,1.0,0.16369
