timestamp,theta_pot,theta_enc,w_user,w_meas,u_pwm,force_filt,tau_ext,w_adm
1763468186.6856205,-0.02,0.04065,0.0,0.0,31.4,0.1082,-0.00973,0.0
1763468186.6857712,-0.02,0.04065,0.0,0.0,31.4,0.0937,-0.00844,0.0
1763468186.685909,-0.02,0.04065,0.0,0.0,31.4,0.0903,-0.00813,0.0
1763468186.6860452,-0.02,0.04065,0.0,0.0,31.4,0.0917,-0.00825,0.0
1763468186.8074567,-0.02,0.04065,0.0,0.0,31.4,0.0877,-0.00789,0.0
1763468186.8085284,-0.02,0.04065,0.0,0.0,31.4,0.0934,-0.00841,0.0
1763468187.056345,-0.02,0.04065,0.0,0.0,31.4,0.0902,-0.00812,0.0
1763468187.056936,-0.02,0.04065,0.0,0.0,31.4,0.094,-0.00846,0.0
1763468187.242941,-0.02,0.04065,0.0,0.0,31.4,0.0913,-0.00822,0.0
1763468187.2434802,-0.03,0.04065,0.0,0.0,31.4,0.0909,-0.00818,0.0
1763468187.2436888,-0.03,0.04065,0.0,0.0,31.4,0.0937,-0.00843,0.0
1763468187.4306688,-0.02,0.04065,0.0,0.0,31.4,0.0883,-0.00795,0.0
1763468187.430912,-0.03,0.04065,0.0,0.0,31.4,0.0892,-0.00803,0.0
1763468187.6173828,-0.03,0.04065,0.0,0.0,31.4,0.0901,-0.00811,0.0
1763468187.6181777,-0.03,0.04065,0.0,0.0,31.4,0.0906,-0.00816,0.0
1763468187.8066025,-0.03,0.04065,0.0,0.0,31.4,0.0931,-0.00837,0.0
1763468187.8071818,-0.02,0.04065,0.0,0.0,31.4,0.092,-0.00828,0.0
1763468188.0555282,-0.03,0.04065,0.0,0.0,31.4,0.0908,-0.00817,0.0
1763468188.0562115,-0.02,0.04065,0.0,0.0,31.4,0.1055,-0.0095,0.0
1763468188.2435887,-0.02,0.04065,0.0,0.0,31.4,0.0922,-0.0083,0.0
1763468188.2441208,-0.02,0.04065,0.0,0.0,31.4,0.0914,-0.00823,0.0
1763468188.4287646,-0.03,0.04065,0.0,0.0,31.4,0.0954,-0.00859,0.0
1763468188.4289608,-0.02,0.04065,0.0,0.0,31.4,0.0889,-0.008,0.0
1763468188.6466525,-0.02,0.04065,0.0,0.0,31.4,0.095,-0.00855,0.0
1763468188.6468635,-0.02,0.04065,0.0,0.0,31.4,0.0947,-0.00852,0.0
1763468188.834201,-0.03,0.04065,0.0,0.0,31.4,0.0913,-0.00821,0.0
1763468188.8345494,-0.03,0.04065,0.0,0.0,31.4,0.0881,-0.00793,0.0
1763468189.0228598,-0.02,0.04065,0.0,0.0,31.4,0.0909,-0.00819,0.0
1763468189.0230827,-0.02,0.04065,0.0,0.0,31.4,0.0935,-0.00841,0.0
1763468189.2723699,-0.02,0.04065,0.0,0.0,31.4,0.107,-0.00963,0.0
1763468189.272671,-0.02,0.04065,0.0,0.0,31.4,0.0913,-0.00821,0.0
1763468189.4593437,-0.02,0.04065,0.0,0.0,31.4,0.0897,-0.00807,0.0
1763468189.4597747,-0.03,0.04065,0.0,0.0,31.4,0.0924,-0.00832,0.0
1763468189.646237,-0.02,0.04065,0.0,0.0,31.4,0.1067,-0.0096,0.0
1763468189.6464894,-0.02,0.04065,0.0,0.0,31.4,0.0938,-0.00844,0.0
1763468189.8975942,-0.03,0.04065,0.0,0.0,31.4,0.0926,-0.00833,0.0
1763468189.8980465,-0.02,0.04065,0.0,0.0,31.4,0.1044,-0.0094,0.0
1763468190.0834556,-0.03,0.04065,0.0,0.0,31.4,0.1111,-0.01,0.0
1763468190.083683,-0.03,0.04065,0.0,0.0,31.4,0.0905,-0.00815,0.0
1763468190.2686617,-0.02,0.04065,0.0,0.0,31.4,0.0914,-0.00822,0.0
1763468190.2688832,-0.02,0.04065,0.0,0.0,31.4,0.0897,-0.00807,0.0
1763468190.457485,-0.03,0.04065,0.0,0.0,31.4,0.0944,-0.00849,0.0
1763468190.4577544,-0.02,0.04065,0.0,0.0,31.4,0.1074,-0.00966,0.0
1763468190.6833513,-0.02,0.04065,0.0,0.0,31.4,0.0877,-0.00789,0.0
1763468190.683507,-0.02,0.04065,0.0,0.0,31.4,0.0907,-0.00816,0.0
1763468190.8505182,-0.03,0.04065,0.0,0.0,31.4,0.0929,-0.00836,0.0
1763468190.8508294,-0.02,0.04065,0.0,0.0,31.4,0.0896,-0.00807,0.0
1763468191.0710738,-0.02,0.04065,0.0,0.0,31.4,0.0901,-0.00811,0.0
1763468191.0713754,-0.03,0.04065,0.0,0.0,31.4,0.089,-0.00801,0.0
1763468191.307505,-0.02,0.04065,0.0,0.0,31.4,0.107,-0.00963,0.0
1763468191.3083165,-0.02,0.04065,0.0,0.0,31.4,0.0916,-0.00824,0.0
1763468191.4927795,-0.03,0.04065,0.0,0.0,31.4,0.1045,-0.00941,0.0
1763468191.4931443,-0.02,0.04065,0.0,0.0,31.4,0.0919,-0.00827,0.0
1763468191.6825619,-0.03,0.04065,0.0,0.0,31.4,0.1068,-0.00962,0.0
1763468191.6830966,-0.02,0.04065,0.0,0.0,31.4,0.0917,-0.00825,0.0
1763468191.870221,-0.02,0.04065,0.0,0.0,31.4,0.0894,-0.00805,0.0
1763468191.8704295,-0.02,0.04065,0.0,0.0,31.4,0.1049,-0.00944,0.0
1763468192.1182334,-0.02,0.04065,0.0,0.0,31.4,0.0902,-0.00812,0.0
1763468192.1190598,-0.02,0.04065,0.0,0.0,31.4,0.0898,-0.00808,0.0
1763468192.3080842,-0.02,0.04065,0.0,0.0,31.4,0.0907,-0.00816,0.0
1763468192.3084893,-0.03,0.04065,0.0,0.0,31.4,0.0921,-0.00829,0.0
1763468192.496128,-0.03,0.04065,0.0,0.0,31.4,0.0946,-0.00852,0.0
1763468192.4969072,-0.02,0.04065,0.0,0.0,31.4,0.0907,-0.00816,0.0
1763468192.6849363,-0.02,0.04065,0.0,0.0,31.4,0.0911,-0.0082,0.0
1763468192.6855597,-0.02,0.04065,0.0,0.0,31.4,0.0894,-0.00804,0.0
1763468192.9366465,-0.02,0.04065,0.0,0.0,31.4,0.0892,-0.00803,0.0
1763468192.9368496,-0.02,0.04065,0.0,0.0,31.4,0.0913,-0.00822,0.0
1763468193.1158352,-0.02,0.04065,0.0,0.0,31.4,0.1085,-0.00977,0.0
1763468193.1161118,-0.02,0.04065,0.0,0.0,31.4,0.0885,-0.00796,0.0
1763468193.326602,-0.02,0.04065,0.0,0.0,31.4,0.09,-0.0081,0.0
1763468193.3267555,-0.02,0.04065,0.0,0.0,31.4,0.0902,-0.00812,0.0
1763468193.5089576,-0.02,0.04065,0.0,0.0,31.4,0.1049,-0.00944,0.0
1763468193.5093381,-0.02,0.04065,0.0,0.0,31.4,0.1051,-0.00946,0.0
1763468193.7232847,-0.02,0.04065,0.0,0.0,31.4,0.0928,-0.00835,0.0
1763468193.7234428,-0.02,0.04065,0.0,0.0,31.4,0.0925,-0.00833,0.0
1763468193.7235796,-0.02,0.04065,0.0,0.0,31.4,0.0907,-0.00816,0.0
1763468193.9488046,-0.02,0.04065,0.0,0.0,31.4,0.0912,-0.00821,0.0
1763468193.9489963,-0.02,0.04065,0.0,0.0,31.4,0.0889,-0.008,0.0
1763468194.1820426,-0.02,0.04065,0.0,0.0,31.4,0.0887,-0.00798,0.0
1763468194.183042,-0.02,0.04065,0.0,0.0,31.4,0.0938,-0.00844,0.0
1763468194.3549016,-0.02,0.04065,0.0,0.0,31.4,0.0914,-0.00822,0.0
1763468194.355221,-0.03,0.04065,0.0,0.0,31.4,0.106,-0.00954,0.0
1763468194.5291007,-0.02,0.04065,0.0,0.0,31.4,0.0901,-0.00811,0.0
1763468194.5293272,-0.02,0.04065,0.0,0.0,31.4,0.0915,-0.00823,0.0
1763468194.742849,-0.02,0.04065,0.0,0.0,31.4,0.0913,-0.00822,0.0
1763468194.7432046,-0.02,0.04065,0.0,0.0,31.4,0.0938,-0.00844,0.0
1763468194.951027,-0.02,0.04065,0.0,0.0,31.4,0.0886,-0.00798,0.0
1763468194.95152,-0.02,0.04065,0.0,0.0,31.4,0.1043,-0.00939,0.0
1763468195.1643896,-0.02,0.04065,0.0,0.0,31.4,0.107,-0.00963,0.0
1763468195.1648557,-0.02,0.04065,0.0,0.0,31.4,0.0913,-0.00822,0.0
1763468195.3869712,-0.02,0.04065,0.0,0.0,31.4,0.0902,-0.00811,0.0
1763468195.3875706,-0.02,0.04065,0.0,0.0,31.4,0.092,-0.00828,0.0
1763468195.5473547,-0.02,0.04065,0.0,0.0,31.4,0.0901,-0.00811,0.0
1763468195.5475135,-0.02,0.04065,0.0,0.0,31.4,0.0903,-0.00812,0.0
1763468195.7632155,-0.02,0.04065,0.0,0.0,31.4,0.0912,-0.00821,0.0
1763468195.7637413,-0.02,0.04065,0.0,0.0,31.4,0.0912,-0.00821,0.0
1763468195.9493015,-0.02,0.04065,0.0,0.0,31.4,0.0918,-0.00826,0.0
1763468195.9498074,-0.02,0.04065,0.0,0.0,31.4,0.09,-0.0081,0.0
1763468196.1987336,-0.02,0.04065,0.0,0.0,31.4,0.0914,-0.00823,0.0
1763468196.1989355,-0.02,0.04065,0.0,0.0,31.4,0.1048,-0.00944,0.0
1763468196.369405,-0.02,0.04065,0.0,0.0,31.4,0.1059,-0.00953,0.0
1763468196.370277,-0.02,0.04065,0.0,0.0,31.4,0.0941,-0.00847,0.0
1763468196.5564828,-0.02,0.04065,0.0,0.0,31.4,0.09,-0.0081,0.0
1763468196.5570478,-0.02,0.04065,0.0,0.0,31.4,0.0905,-0.00815,0.0
1763468196.8070674,-0.02,0.04065,0.0,0.0,31.4,0.0897,-0.00807,0.0
1763468196.8074393,-0.02,0.04065,0.0,0.0,31.4,0.0925,-0.00832,0.0
1763468196.994774,-0.02,0.04065,0.0,0.0,31.4,0.1048,-0.00943,0.0
1763468196.995568,-0.02,0.04065,0.0,0.0,31.4,0.0935,-0.00841,0.0
1763468197.183639,-0.02,0.04065,0.0,0.0,31.4,0.0877,-0.00789,0.0
