timestamp,theta_pot,button_state,theta_pot_rad,wUser_,tau_ext
1764928631.3656652,80.59,1.0,1.41,0.0,0.0
1764928631.3659363,80.59,1.0,1.41,0.0,0.0
1764928631.5581822,80.59,1.0,1.41,0.0,0.0
1764928631.5586424,80.59,1.0,1.41,0.0,0.0
1764928631.8100295,80.85,1.0,1.41,0.0,0.0
1764928631.810345,80.85,1.0,1.41,0.0,0.0
1764928631.99375,80.59,1.0,1.41,0.0,0.0
1764928631.9940417,80.59,1.0,1.41,0.0,0.0
1764928632.1819382,80.59,1.0,1.41,0.0,0.0
1764928632.1822298,80.59,1.0,1.41,0.0,0.0
1764928632.3709154,80.85,1.0,1.41,0.0,0.0
1764928632.3714848,80.59,1.0,1.41,0.0,0.0
1764928632.6200082,80.85,1.0,1.41,0.0,0.0
1764928632.6204984,80.59,1.0,1.41,0.0,0.029
1764928632.8086388,80.59,1.0,1.41,0.0,0.08005
1764928632.8090906,80.85,1.0,1.41,0.0,0.142
1764928632.9955916,80.85,1.0,1.41,0.0,0.18078
1764928632.9960368,80.85,1.0,1.41,0.0,0.20324
1764928633.1856635,80.85,1.0,1.41,0.0,0.20456
1764928633.1859484,80.85,1.0,1.41,0.0,0.26991
1764928633.435974,80.85,1.0,1.41,0.0,0.33796
1764928633.4364822,80.85,1.0,1.41,0.0,0.34244
1764928633.6226492,81.12,1.0,1.42,0.0,0.34139
1764928633.6230912,80.85,1.0,1.41,0.0,0.29976
1764928633.8119755,80.85,1.0,1.41,0.0,0.24358
1764928633.8124518,80.85,1.0,1.41,0.0,0.12848
1764928634.0011492,80.59,1.0,1.41,0.0,0.0
1764928634.0016053,80.59,1.0,1.41,0.0,0.0
1764928634.251945,80.59,1.0,1.41,0.0,0.0
1764928634.2524111,80.59,1.0,1.41,0.0,0.0
1764928634.442199,80.59,1.0,1.41,0.0,0.0
1764928634.4426937,80.59,1.0,1.41,0.0,0.0
1764928634.6316335,80.59,1.0,1.41,0.0,0.0
1764928634.6321712,80.59,1.0,1.41,0.0,0.0
1764928634.8186615,80.59,1.0,1.41,0.0,0.0
1764928634.819104,80.59,1.0,1.41,0.0,0.0
1764928635.070635,80.59,1.0,1.41,0.0,0.0
1764928635.071138,80.59,1.0,1.41,0.0,0.0
1764928635.2578852,80.85,1.0,1.41,0.0,0.0
1764928635.2583244,80.59,1.0,1.41,0.0,0.0
1764928635.4448853,80.59,1.0,1.41,0.0,0.0
1764928635.445407,80.85,1.0,1.41,0.0,0.0
1764928635.6330395,80.59,1.0,1.41,0.0,0.0
1764928635.6334817,80.59,1.0,1.41,0.0,0.0
1764928635.6338818,80.59,1.0,1.41,0.0,0.0
1764928635.8831153,80.59,1.0,1.41,0.0,0.0
1764928635.8835642,80.85,1.0,1.41,0.0,0.0
1764928636.0680969,80.59,1.0,1.41,0.0,0.0
1764928636.06854,80.85,1.0,1.41,0.0,0.0
1764928636.2555819,80.59,1.0,1.41,0.0,0.0
1764928636.256026,80.59,1.0,1.41,0.0,0.0
1764928636.4446428,80.59,1.0,1.41,0.0,0.0
1764928636.4447954,80.59,1.0,1.41,0.0,0.0
1764928636.6977065,80.59,1.0,1.41,0.0,0.0
1764928636.6979623,80.59,1.0,1.41,0.0,0.0
1764928636.8866072,80.59,1.0,1.41,0.0,0.0
1764928636.887147,80.59,1.0,1.41,0.0,0.0
1764928637.0757077,80.85,1.0,1.41,0.0,0.0
1764928637.0761704,80.59,1.0,1.41,0.0,0.0
1764928637.2641335,80.85,1.0,1.41,0.0,0.0
1764928637.2646039,80.59,1.0,1.41,0.0,0.0
1764928637.5145366,80.59,1.0,1.41,0.0,0.0
1764928637.5149543,80.59,1.0,1.41,0.0,0.0
1764928637.7026858,80.85,1.0,1.41,0.0,0.0
1764928637.703097,80.59,1.0,1.41,0.0,0.0
1764928637.890838,80.59,1.0,1.41,0.0,0.0
1764928637.8913116,80.59,1.0,1.41,0.0,0.0
1764928638.0759094,80.59,1.0,1.41,0.0,0.0
1764928638.0763702,80.59,1.0,1.41,0.0,0.0
1764928638.3259618,80.59,1.0,1.41,0.0,0.0
1764928638.3264434,80.59,1.0,1.41,0.0,0.0
1764928638.5132647,80.85,1.0,1.41,0.0,0.0
1764928638.5137517,80.85,1.0,1.41,0.0,0.0
1764928638.702556,80.59,1.0,1.41,0.0,0.0
1764928638.7031016,80.59,1.0,1.41,0.0,0.0
1764928638.8916147,80.59,1.0,1.41,0.0,0.0
1764928638.8921473,80.85,1.0,1.41,0.0,0.0
1764928639.1416578,80.59,1.0,1.41,0.0,0.0
1764928639.1420956,80.59,1.0,1.41,0.0,0.0
1764928639.329803,80.59,1.0,1.41,0.0,0.0
1764928639.3302507,80.59,1.0,1.41,0.0,0.0
1764928639.5195346,80.59,1.0,1.41,0.0,0.0
1764928639.5199716,80.59,1.0,1.41,0.0,0.0
1764928639.7072353,80.59,1.0,1.41,0.0,0.0
1764928639.7077234,80.59,1.0,1.41,0.0,0.0
1764928639.9569268,80.59,1.0,1.41,0.0,0.0
1764928639.957258,80.85,1.0,1.41,0.0,0.0
1764928640.144353,80.59,1.0,1.41,0.0,0.0
1764928640.14452,80.59,1.0,1.41,0.0,0.0
1764928640.3355298,80.59,1.0,1.41,0.0,0.0
1764928640.336245,80.59,1.0,1.41,0.0,0.0
1764928640.5239437,80.59,1.0,1.41,0.0,0.0
1764928640.5243807,80.59,1.0,1.41,0.0,0.0
1764928640.771325,80.85,1.0,1.41,0.0,0.0
1764928640.7717648,80.59,1.0,1.41,0.0,0.0
1764928640.9600155,80.59,1.0,1.41,0.0,0.0
1764928640.960458,80.59,1.0,1.41,0.0,0.0
1764928641.14815,80.59,1.0,1.41,0.0,0.0
1764928641.148584,80.59,1.0,1.41,0.0,0.0
1764928641.337422,80.59,1.0,1.41,0.0,0.0
1764928641.3376873,80.59,1.0,1.41,0.0,0.0
1764928641.5890477,80.59,1.0,1.41,0.0,0.0
1764928641.5892255,80.85,1.0,1.41,0.0,0.0
1764928641.7779677,80.59,1.0,1.41,0.0,0.0
1764928641.7784324,80.59,1.0,1.41,0.0,0.0
1764928641.9669356,80.59,1.0,1.41,0.0,0.0
1764928641.967092,80.59,1.0,1.41,0.0,0.0
1764928642.1566305,80.59,1.0,1.41,0.0,0.0
1764928642.1570098,80.59,1.0,1.41,0.0,0.0
1764928642.1571693,80.59,1.0,1.41,0.0,0.0
1764928642.4101546,80.59,1.0,1.41,0.0,0.0
1764928642.410465,80.59,1.0,1.41,0.0,0.0
1764928642.597099,80.59,1.0,1.41,0.0,0.0
1764928642.597557,80.33,1.0,1.4,0.0,0.0
1764928642.784038,80.59,1.0,1.41,0.0,0.0
1764928642.7845492,80.59,1.0,1.41,0.0,0.0
1764928642.9725044,80.59,1.0,1.41,0.0,0.0
1764928642.9729683,80.85,1.0,1.41,0.0,0.0
1764928643.2206135,80.85,1.0,1.41,0.0,0.0
1764928643.2210069,80.59,1.0,1.41,0.0,0.0
1764928643.408022,80.59,1.0,1.41,0.0,0.0
1764928643.4084878,80.59,1.0,1.41,0.0,0.0
1764928643.5965707,80.85,1.0,1.41,0.0,0.0
1764928643.5967693,80.59,1.0,1.41,0.0,0.0
1764928643.7853467,80.59,1.0,1.41,0.0,0.0
1764928643.7857697,80.59,1.0,1.41,0.0,0.0
1764928644.0334847,80.59,1.0,1.41,0.0,0.0
1764928644.033946,80.59,1.0,1.41,0.0,0.0
1764928644.219196,80.59,1.0,1.41,0.0,0.0
1764928644.219636,80.85,1.0,1.41,0.0,0.0
1764928644.4068956,80.59,1.0,1.41,0.0,0.0
1764928644.4073362,80.59,1.0,1.41,0.0,0.0
1764928644.596683,80.85,1.0,1.41,0.0,0.0
1764928644.5971434,80.59,1.0,1.41,0.0,0.0
1764928644.8470154,80.59,1.0,1.41,0.0,0.0
1764928644.8475003,80.59,1.0,1.41,0.0,0.0
1764928645.036589,80.59,1.0,1.41,0.0,0.0
1764928645.0370386,80.59,1.0,1.41,0.0,0.0
1764928645.2256372,80.59,1.0,1.41,0.0,0.0
1764928645.2260845,80.59,1.0,1.41,0.0,0.0
1764928645.4133003,80.85,1.0,1.41,0.0,0.0
1764928645.4137633,80.59,1.0,1.41,0.0,0.0
1764928645.6607995,80.85,1.0,1.41,0.0,0.0
1764928645.6614203,80.59,1.0,1.41,0.0,0.0
1764928645.85054,80.59,1.0,1.41,0.0,0.0
1764928645.8509874,80.59,1.0,1.41,0.0,0.0
1764928646.0374048,80.85,1.0,1.41,0.0,0.0
1764928646.0376759,80.85,1.0,1.41,0.0,0.0
1764928646.2252958,80.85,1.0,1.41,0.0,0.0
1764928646.225476,80.59,1.0,1.41,0.0,0.0
1764928646.4794555,80.85,1.0,1.41,0.0,0.0
1764928646.4796152,80.59,1.0,1.41,0.0,0.0
1764928646.6707842,80.59,1.0,1.41,0.0,0.0
1764928646.6709714,80.59,1.0,1.41,0.0,0.0
1764928646.8582153,80.59,1.0,1.41,0.0,0.0
1764928646.858675,80.59,1.0,1.41,0.0,0.06179
1764928647.0461311,80.85,1.0,1.41,0.0,-0.06942
1764928647.0465982,80.59,1.0,1.41,0.0,-0.06563
1764928647.2995014,80.59,1.0,1.41,0.0,-0.2597
1764928647.3000724,80.59,1.0,1.41,0.0,-0.31719
1764928647.4866424,80.59,1.0,1.41,0.0,-0.35986
1764928647.4871054,80.59,1.0,1.41,0.0,-0.3459
1764928647.6752682,80.59,1.0,1.41,0.0,-0.15305
1764928647.675893,80.59,1.0,1.41,0.0,0.0
1764928647.8664432,80.59,1.0,1.41,0.0,0.0
1764928647.8668866,80.59,1.0,1.41,0.0,0.0
1764928648.1143012,80.59,1.0,1.41,0.0,0.0
1764928648.1147816,80.59,1.0,1.41,0.0,0.0
1764928648.305648,80.59,1.0,1.41,0.0,0.0
1764928648.3064415,80.59,1.0,1.41,0.0,0.0
1764928648.492206,80.59,1.0,1.41,0.0,0.0
1764928648.4926481,80.85,1.0,1.41,0.0,0.0
1764928648.4930568,80.59,1.0,1.41,0.0,0.0
1764928648.6803427,80.59,1.0,1.41,0.0,0.0
1764928648.6809828,80.59,1.0,1.41,0.0,0.0
1764928648.9317584,80.59,1.0,1.41,0.0,0.0
1764928648.9322166,80.59,1.0,1.41,0.0,0.0
1764928649.1197972,80.59,1.0,1.41,0.0,0.0
1764928649.1204531,80.59,1.0,1.41,0.0,0.0
1764928649.3087516,80.59,1.0,1.41,0.0,0.0
1764928649.309635,80.59,1.0,1.41,0.0,0.0
1764928649.559039,80.59,1.0,1.41,0.0,0.0
1764928649.559495,80.59,1.0,1.41,0.0,0.0
1764928649.746904,80.59,1.0,1.41,0.0,0.0
1764928649.7470691,80.59,1.0,1.41,0.0,0.0
1764928649.9355114,80.59,1.0,1.41,0.0,0.0
1764928649.9356709,80.59,1.0,1.41,0.0,0.0
1764928650.1267302,80.59,1.0,1.41,0.0,0.0
1764928650.1268883,80.59,1.0,1.41,0.0,0.0
1764928650.3130527,80.59,1.0,1.41,0.0,0.0
1764928650.3135233,80.59,1.0,1.41,0.0,0.0
1764928650.562375,80.85,1.0,1.41,0.0,0.0
1764928650.5629776,80.59,1.0,1.41,0.0,0.0
1764928650.748551,80.59,1.0,1.41,0.0,0.0
1764928650.7489996,80.59,1.0,1.41,0.0,0.0
1764928650.9355087,80.85,1.0,1.41,0.0,0.0
1764928650.9359496,80.85,1.0,1.41,0.0,0.0
1764928651.1233804,80.85,1.0,1.41,0.0,0.0
1764928651.1245818,80.59,1.0,1.41,0.0,0.0
1764928651.3729975,80.85,1.0,1.41,0.0,0.0
1764928651.3731537,80.59,1.0,1.41,0.0,0.0
1764928651.5627353,80.85,1.0,1.41,0.0,0.0
1764928651.5629327,80.85,1.0,1.41,0.0,0.0
1764928651.7527828,77.16,1.0,1.35,0.0,0.0
1764928651.7531326,76.89,1.0,1.34,0.0,0.0
1764928651.9415762,76.89,1.0,1.34,0.0,0.0
1764928651.9419205,77.16,1.0,1.35,0.0,0.0
1764928652.1915593,76.89,1.0,1.34,0.0,0.0
1764928652.1919122,76.89,1.0,1.34,0.0,0.0
1764928652.367174,76.89,1.0,1.34,0.0,0.0
1764928652.3676353,76.63,1.0,1.34,0.0,0.0
1764928652.5561256,76.89,1.0,1.34,0.0,0.0
1764928652.556622,76.89,1.0,1.34,0.0,0.0
1764928652.8073602,76.89,1.0,1.34,0.0,0.0
1764928652.8080409,76.89,1.0,1.34,0.0,0.0
1764928652.9909956,76.89,1.0,1.34,0.0,0.0
1764928652.9911833,76.89,1.0,1.34,0.0,0.0
1764928653.178419,77.16,1.0,1.35,0.0,0.0
1764928653.178891,76.89,1.0,1.34,0.0,0.0
1764928653.3674343,76.89,1.0,1.34,0.0,0.0
1764928653.3693056,76.89,1.0,1.34,0.0,0.0
1764928653.6158757,76.89,1.0,1.34,0.0,0.0
1764928653.6163452,76.89,1.0,1.34,0.0,0.0
1764928653.80565,76.89,1.0,1.34,0.0,0.0
1764928653.8062725,76.89,1.0,1.34,0.0,0.0
1764928653.9919343,76.89,1.0,1.34,0.0,0.0
1764928653.9925141,76.89,1.0,1.34,0.0,0.0
1764928654.179467,77.16,1.0,1.35,0.0,0.0
1764928654.1799135,76.89,1.0,1.34,0.0,0.0
1764928654.4257689,76.89,1.0,1.34,0.0,0.0
1764928654.4259653,76.89,1.0,1.34,0.0,0.0
1764928654.6148696,76.89,1.0,1.34,0.0,0.0
1764928654.6152735,76.89,1.0,1.34,0.0,0.0
1764928654.8033526,77.16,1.0,1.35,0.0,0.0
1764928654.8039527,76.89,1.0,1.34,0.0,0.0
1764928654.9905646,76.89,1.0,1.34,0.0,0.0
1764928654.991032,76.89,1.0,1.34,0.0,0.0
1764928655.2393587,76.89,1.0,1.34,0.0,0.0
1764928655.2397947,76.89,1.0,1.34,0.0,0.0
1764928655.4259872,76.89,1.0,1.34,0.0,0.0
1764928655.4264362,76.89,1.0,1.34,0.0,0.0
1764928655.6136522,76.89,1.0,1.34,0.0,0.0
1764928655.6141567,76.89,1.0,1.34,0.0,0.0
1764928655.6146033,76.89,1.0,1.34,0.0,0.0
1764928655.7997966,76.89,1.0,1.34,0.0,0.0
1764928655.800256,76.89,1.0,1.34,0.0,0.0
1764928656.0505292,76.89,1.0,1.34,0.0,0.0
1764928656.0507011,76.89,1.0,1.34,0.0,0.0
1764928656.2375894,76.89,1.0,1.34,0.0,0.0
1764928656.237754,76.89,1.0,1.34,0.0,0.0
1764928656.4253771,76.89,1.0,1.34,0.0,0.0
1764928656.4255347,76.89,1.0,1.34,0.0,0.0
1764928656.6142187,76.89,1.0,1.34,0.0,0.0
1764928656.6145837,76.89,1.0,1.34,0.0,0.0
1764928656.8646154,76.89,1.0,1.34,0.0,0.0
1764928656.8648875,77.16,1.0,1.35,0.0,0.0
1764928657.0512905,76.89,1.0,1.34,0.0,0.0
