timestamp,theta_pot,button_state,tau_ext
1764672293.9038584,-13.5,1.0,-1e-05
1764672293.9045582,-13.76,1.0,-2e-05
1764672294.0909178,-13.5,1.0,-4e-05
1764672294.0913403,-13.76,1.0,-5e-05
1764672294.2708623,-13.5,1.0,-6e-05
1764672294.2714977,-13.5,1.0,-7e-05
1764672294.5121098,-13.5,1.0,-8e-05
1764672294.512531,-13.5,1.0,-9e-05
1764672294.6791375,-13.76,1.0,-9e-05
1764672294.679546,-13.5,1.0,-0.0001
1764672294.9196641,-13.76,1.0,-0.00012
1764672294.9200397,-13.5,1.0,-0.00012
1764672295.1043093,-13.5,1.0,-0.00013
1764672295.1044502,-13.5,1.0,-0.00014
1764672295.2927,-13.5,1.0,-0.00013
1764672295.2934484,-13.5,1.0,-0.00014
1764672295.477844,-13.76,1.0,-0.00014
1764672295.4782307,-13.5,1.0,-0.00014
1764672295.729057,-13.5,1.0,-0.00015
1764672295.7303147,-13.5,1.0,-0.00014
1764672295.9027681,-13.76,1.0,-0.00014
1764672295.9030237,-13.5,1.0,-0.00014
1764672296.087993,-13.5,1.0,-0.00015
1764672296.088344,-13.76,1.0,-0.00015
1764672296.336353,-13.5,1.0,-0.00015
1764672296.3365128,-13.5,1.0,-0.00014
1764672296.5246596,-13.5,1.0,-0.00015
1764672296.5254326,-13.5,1.0,-0.00016
1764672296.7091053,-13.5,1.0,-0.00016
1764672296.7096825,-13.76,1.0,-0.00017
1764672296.8972147,-13.5,1.0,-0.00016
1764672296.8977425,-13.5,1.0,-0.00017
1764672297.148178,-13.76,1.0,-0.00016
1764672297.148447,-13.5,1.0,-0.00017
1764672297.3043537,-13.5,1.0,-0.00017
1764672297.3046823,-13.5,1.0,-0.00016
1764672297.5506577,-13.76,1.0,-0.00016
1764672297.5510259,-13.5,1.0,-0.00016
1764672297.7254303,-13.5,1.0,-0.00017
1764672297.725689,-13.76,1.0,-0.00017
1764672297.9145794,-13.5,1.0,-0.00016
1764672297.9148192,-13.76,1.0,-0.00017
1764672298.1487842,-13.5,1.0,-0.00015
1764672298.149381,-13.5,1.0,-0.00016
1764672298.3354716,-13.76,1.0,-0.00114
1764672298.336022,-13.5,1.0,-2e-05
1764672298.5859432,-13.5,1.0,-0.00497
1764672298.5866518,-13.5,1.0,-0.03191
1764672298.7759078,-11.65,1.0,-0.06628
1764672298.7762399,-6.37,1.0,-0.09045
1764672298.961796,-0.3,1.0,-0.08446
1764672298.9620597,5.77,1.0,-0.05027
1764672298.9622755,8.94,1.0,-0.00208
1764672299.149507,8.94,1.0,0.05306
1764672299.1497884,4.45,1.0,0.07581
1764672299.3352077,-0.57,1.0,0.07596
1764672299.3354855,-5.32,1.0,0.06127
1764672299.5874763,-9.54,1.0,0.03963
1764672299.587901,-10.07,1.0,0.02254
1764672299.776729,-14.03,1.0,0.01427
1764672299.776913,-15.35,1.0,0.00798
1764672299.9972534,-15.08,1.0,0.0038
1764672299.9975035,-15.61,1.0,-2e-05
1764672300.1702473,-15.35,1.0,-0.00048
1764672300.1704013,-15.61,1.0,-0.00042
1764672300.3908627,-15.61,1.0,-0.00035
1764672300.3910108,-15.61,1.0,-0.00033
1764672300.559745,-15.61,1.0,-0.0003
1764672300.5599823,-15.61,1.0,-0.00068
1764672300.8099036,-15.61,1.0,-0.0085
1764672300.8101678,-15.61,1.0,-0.02164
1764672300.9968343,-14.03,1.0,-0.02989
1764672300.9971635,-12.97,1.0,-0.02549
1764672301.1833692,-12.18,1.0,-0.02162
1764672301.1836307,-7.96,1.0,-0.01805
1764672301.3706377,-6.9,1.0,-0.0153
1764672301.370898,-5.32,1.0,-0.01287
1764672301.6197052,-3.73,1.0,-0.01088
1764672301.6199703,-3.73,1.0,-0.00931
1764672301.806539,-3.73,1.0,-0.00791
1764672301.8069687,-3.73,1.0,-0.00657
1764672302.3596447,-3.73,1.0,-0.00546
1764672302.36061,-3.73,1.0,-0.00463
1764672302.3612597,-3.73,1.0,-0.00383
1764672302.3618605,-3.73,1.0,-0.00324
1764672302.3842852,-3.73,1.0,-0.00268
1764672302.3880308,-3.47,1.0,-0.00226
1764672302.5889359,-3.73,1.0,-0.00187
1764672302.5894673,-3.73,1.0,-0.00156
1764672302.7920437,-3.73,1.0,-0.00129
1764672302.792514,-3.73,1.0,-0.00104
1764672302.992667,-4.0,1.0,-0.00088
1764672302.9942105,-4.0,1.0,-0.00072
1764672303.1966345,-3.73,1.0,-0.0006
1764672303.1978796,-4.0,1.0,-0.00048
1764672303.3981068,-3.73,1.0,-0.0004
1764672303.3996117,-3.73,1.0,-0.00031
1764672303.6003063,-3.73,1.0,-0.00022
1764672303.6005433,-3.73,1.0,-0.00018
1764672303.8041775,-3.73,1.0,-0.00013
1764672303.8045077,-3.73,1.0,-9e-05
1764672304.004839,-3.73,1.0,-6e-05
1764672304.0051444,-3.73,1.0,-3e-05
1764672304.2113633,-3.73,1.0,-0.0
1764672304.2121825,-4.0,1.0,1e-05
1764672304.415115,-3.73,1.0,4e-05
1764672304.415309,-3.73,1.0,5e-05
1764672304.6149585,-3.73,1.0,5e-05
1764672304.615273,-3.73,1.0,5e-05
1764672304.8192825,-3.73,1.0,5e-05
1764672304.8196738,-4.0,1.0,6e-05
1764672305.024328,-3.73,1.0,7e-05
1764672305.0251446,-4.0,1.0,7e-05
1764672305.225052,-3.47,1.0,7e-05
1764672305.225398,-3.73,1.0,8e-05
1764672305.4304326,-3.73,1.0,8e-05
1764672305.4312797,-4.0,1.0,8e-05
1764672305.6352937,-4.0,1.0,9e-05
1764672305.6360881,-3.73,1.0,0.0001
1764672305.837749,-4.0,1.0,0.00011
1764672305.8389597,-4.0,1.0,0.0001
1764672306.040981,-4.0,1.0,0.0001
1764672306.0413508,-3.73,1.0,9e-05
1764672306.2427561,-3.73,1.0,9e-05
1764672306.2442126,-3.73,1.0,9e-05
1764672306.4452617,-4.0,1.0,8e-05
1764672306.4454906,-3.73,1.0,8e-05
1764672306.647221,-3.73,1.0,9e-05
1764672306.6475875,-3.73,1.0,0.00011
1764672306.8497026,-3.73,1.0,0.0001
1764672306.8499885,-3.73,1.0,8e-05
1764672307.0528116,-3.73,1.0,9e-05
1764672307.0533795,-4.0,1.0,8e-05
1764672307.254194,-3.73,1.0,9e-05
1764672307.2546089,-3.73,1.0,9e-05
1764672307.5761864,-3.73,1.0,9e-05
1764672307.5766454,-3.73,1.0,8e-05
1764672307.689445,-3.73,1.0,7e-05
1764672307.6896634,-3.73,1.0,9e-05
1764672307.8801017,-3.73,1.0,9e-05
1764672307.8815017,-3.73,1.0,9e-05
1764672307.884143,-3.73,1.0,9e-05
1764672308.1098099,-3.73,1.0,9e-05
1764672308.1100342,-3.73,1.0,9e-05
1764672308.2819872,-4.0,1.0,0.00012
1764672308.2821355,-3.73,1.0,0.00012
1764672308.4694476,-4.0,1.0,0.00012
1764672308.4696686,-3.73,1.0,0.00011
