timestamp,theta_pot,button_state,tau_ext
1764840128.0764601,1.53,1.0,0.0
1764840128.0767133,1.53,1.0,-0.06321
1764840128.2638025,1.53,1.0,-0.07451
1764840128.2640302,1.53,1.0,-0.07457
1764840128.4522383,1.53,1.0,-0.08246
1764840128.4524148,1.53,1.0,-0.04608
1764840128.7009172,1.53,1.0,-0.04137
1764840128.7011855,1.53,1.0,-0.04289
1764840128.887727,1.53,1.0,-0.05343
1764840128.887948,1.53,1.0,-0.05355
1764840129.0760832,1.53,1.0,-0.04659
1764840129.0762217,1.53,1.0,-0.05841
1764840129.2647803,1.53,1.0,-0.07744
1764840129.2650123,1.53,1.0,-0.08077
1764840129.484023,1.27,1.0,-0.08714
1764840129.4842002,1.53,1.0,-0.08885
1764840129.7013574,1.53,1.0,-0.07468
1764840129.7022378,1.8,1.0,-0.08033
1764840129.916657,1.53,1.0,-0.07341
1764840129.9168203,1.53,1.0,-0.10426
1764840130.1419072,-1.64,1.0,-0.05426
1764840130.1420631,-2.43,1.0,0.0
1764840130.3075278,-1.9,1.0,0.21832
1764840130.3077428,3.12,1.0,-0.06095
1764840130.524995,2.85,1.0,-0.11102
1764840130.5255542,1.0,1.0,-0.07901
1764840130.7107859,-1.64,1.0,0.0
1764840130.7110095,-2.95,1.0,-0.02126
1764840130.8999825,-2.95,1.0,-0.03883
1764840130.9003038,-2.95,1.0,0.0
1764840131.1506622,-2.95,1.0,0.0
1764840131.1509688,-2.95,1.0,-0.02427
1764840131.3211806,-2.95,1.0,0.0
1764840131.3217614,-2.95,1.0,0.07501
1764840131.5112512,-1.11,1.0,0.29524
1764840131.5115862,6.81,1.0,0.23613
1764840131.7610717,12.62,1.0,0.14385
1764840131.7613556,16.58,1.0,0.39463
1764840131.9959729,25.55,1.0,0.50072
1764840131.9962363,34.26,1.0,0.454
1764840132.1194196,41.65,1.0,0.53993
1764840132.119687,48.51,1.0,0.33299
1764840132.3692245,50.36,1.0,0.05274
1764840132.369485,41.12,1.0,0.0
1764840132.3697233,34.52,1.0,0.03018
1764840132.5236626,26.08,1.0,-0.0839
1764840132.7399652,16.84,1.0,0.0
1764840132.740205,11.3,1.0,-0.16348
1764840132.9309614,3.12,1.0,-0.20767
1764840132.9315634,-3.48,1.0,-0.29778
1764840132.9321303,-11.93,1.0,-0.30831
1764840133.1655905,-19.32,1.0,-0.2843
1764840133.1659403,-25.39,1.0,-0.35453
1764840133.377541,-30.4,1.0,-0.40583
1764840133.377796,-37.0,1.0,-0.40889
1764840133.6021793,-41.49,1.0,-0.40234
1764840133.6027024,-43.34,1.0,-0.26411
1764840133.773972,-43.34,1.0,-0.17945
1764840133.774227,-40.7,1.0,-0.09678
1764840133.993493,-33.83,1.0,-0.05538
1764840133.9941654,-27.24,1.0,-0.05219
1764840134.1640396,-21.69,1.0,-0.04988
1764840134.1641834,-15.62,1.0,0.0
1764840134.351033,-11.66,1.0,0.03667
1764840134.3515208,-7.18,1.0,0.10254
1764840134.589598,-2.43,1.0,0.07517
1764840134.5897722,1.53,1.0,0.03213
