timestamp,theta_pot,button_state,theta_pot_rad,wUser_,tau_ext
1764930120.084338,83.23,1.0,1.45,0.0,0.0
1764930120.0859914,83.49,1.0,1.46,0.0,0.0
1764930120.3104763,83.23,1.0,1.45,0.0,0.0
1764930120.311254,83.23,1.0,1.45,0.0,0.0
1764930120.4950044,83.23,1.0,1.45,0.0,0.0
1764930120.4954584,83.23,1.0,1.45,0.0,0.0
1764930120.6814883,83.23,1.0,1.45,0.0,0.0
1764930120.681713,83.23,1.0,1.45,0.0,0.0
1764930120.9349668,83.23,1.0,1.45,0.0,0.0
1764930120.9356277,83.23,1.0,1.45,0.0,0.0
1764930121.1094055,82.96,1.0,1.45,0.0,0.0
1764930121.110082,83.49,1.0,1.46,0.0,0.0
1764930121.297214,83.23,1.0,1.45,0.0,0.0
1764930121.297894,83.23,1.0,1.45,0.0,0.0
1764930121.5481029,83.23,1.0,1.45,0.0,0.0
1764930121.5487897,83.23,1.0,1.45,0.0,0.0
1764930121.732332,83.23,1.0,1.45,0.0,0.0
1764930121.7325664,83.23,1.0,1.45,0.0,0.0
1764930121.92187,83.23,1.0,1.45,0.0,0.0
1764930121.9226394,83.23,1.0,1.45,0.0,0.0
1764930122.1584344,83.23,1.0,1.45,0.0,0.0
1764930122.1590972,83.23,1.0,1.45,0.0,0.0
1764930122.3478584,83.23,1.0,1.45,0.0,0.0
1764930122.348333,82.96,1.0,1.45,0.0,0.0
1764930122.5364718,83.23,1.0,1.45,0.0,0.0
1764930122.537501,83.23,1.0,1.45,0.0,0.0
1764930122.7223225,83.23,1.0,1.45,0.0,0.0
1764930122.722753,83.23,1.0,1.45,0.0,0.0
1764930122.9730475,83.23,1.0,1.45,0.0,0.0
1764930122.9733272,83.23,1.0,1.45,0.0,0.0
1764930123.1656146,83.23,1.0,1.45,0.0,0.0
1764930123.1659708,83.23,1.0,1.45,0.0,0.0
1764930123.1662266,83.23,1.0,1.45,0.0,0.0
1764930123.3532267,83.23,1.0,1.45,0.0,0.0
1764930123.3539815,83.23,1.0,1.45,0.0,0.0
1764930123.6059146,83.23,1.0,1.45,0.0,0.0
1764930123.606674,82.96,1.0,1.45,0.0,0.0
1764930123.79429,83.23,1.0,1.45,0.0,0.0
1764930123.794985,83.23,1.0,1.45,0.0,0.0
