timestamp,theta_pot,button_state,tau_ext
1764663964.798899,36.38,1.0,-0.00273
1764663964.7991488,36.38,1.0,-0.02224
1764663964.9837694,38.76,1.0,-0.03803
1764663964.9840963,40.61,1.0,-0.04915
1764663965.2341056,44.57,1.0,-0.05123
1764663965.234532,46.94,1.0,-0.05448
1764663965.5655603,50.37,1.0,-0.0575
1764663965.5659277,53.28,1.0,-0.05136
1764663965.6235516,55.92,1.0,-0.04329
1764663965.6242614,57.76,1.0,-0.03379
1764663965.80992,60.67,1.0,-0.02847
1764663965.8108861,62.78,1.0,-0.01993
1764663965.998073,64.62,1.0,-0.00677
1764663965.9994838,64.89,1.0,0.00181
1764663966.1827836,65.15,1.0,0.00881
1764663966.1830382,64.89,1.0,0.0142
1764663966.4346054,64.89,1.0,0.02118
1764663966.435629,63.57,1.0,0.02295
