timestamp,theta_pot,button_state,tau_ext
1764853099.8670845,11.0,1.0,0.03769
1764853099.8670845,5.63,1.0,0.05795
1764853099.8670845,5.63,1.0,0.07628
1764853099.8670845,5.63,1.0,0.10405
1764853099.8670845,6.43,1.0,0.13319
1764853099.8670845,9.33,1.0,0.13368
1764853099.8670845,10.91,1.0,0.12313
1764853099.8670845,12.76,1.0,0.07429
1764853100.9530458,13.55,1.0,0.0
1764853100.9530458,13.29,1.0,0.06198
1764853101.1384504,13.29,1.0,0.06568
1764853101.1384504,13.55,1.0,0.06794
1764853101.321751,13.55,1.0,0.06794
1764853101.321751,13.55,1.0,0.071
1764853101.5548694,13.29,1.0,0.07758
1764853101.5548694,13.29,1.0,0.08341
1764853101.7248037,13.29,1.0,0.08879
1764853101.7248037,13.55,1.0,0.09141
1764853101.954587,16.19,1.0,0.04028
1764853101.954587,17.25,1.0,0.0425
1764853102.1190217,18.3,1.0,0.0
1764853102.1190217,18.57,1.0,0.0
1764853102.353081,18.83,1.0,0.0
1764853102.353081,18.83,1.0,-0.05773
1764853102.5312302,18.3,1.0,-0.13285
1764853102.5312302,13.02,1.0,-0.04457
1764853102.757528,11.18,1.0,-0.03585
1764853102.757528,10.38,1.0,0.0
1764853102.9458497,10.38,1.0,0.0
1764853102.9458497,10.38,1.0,0.0
1764853103.1311023,10.38,1.0,0.0
1764853103.1311023,10.38,1.0,-0.03976
1764853103.3506107,10.38,1.0,-0.06739
1764853103.3506107,10.38,1.0,-0.05968
1764853103.5370684,10.38,1.0,-0.0233
1764853103.5370684,10.65,1.0,0.0
1764853103.7884734,10.38,1.0,0.0
1764853103.7884734,10.38,1.0,-0.02376
1764853103.9748335,10.65,1.0,-0.08822
1764853103.9748335,10.12,1.0,-0.21398
1764853104.16045,4.84,1.0,-0.26381
1764853104.16045,1.23,1.0,-0.19622
1764853104.3488264,5.72,1.0,-0.10682
1764853104.3488264,6.24,1.0,0.0
1764853104.598715,4.66,1.0,0.0
1764853104.598715,0.17,1.0,-0.04014
1764853104.7854602,2.73,1.0,-0.16325
1764853104.7854602,2.99,1.0,-0.16553
1764853104.9727283,2.99,1.0,-0.16583
1764853104.9727283,2.99,1.0,-0.17746
1764853105.2019968,2.99,1.0,-0.19185
1764853105.20302,1.49,1.0,-0.12743
1764853105.4059038,1.49,1.0,-0.10852
1764853105.4059038,3.08,1.0,-0.05809
1764853105.5933952,4.4,1.0,-0.03725
1764853105.5933952,4.4,1.0,-0.04539
1764853105.780346,0.96,1.0,-0.11969
1764853105.780346,0.7,1.0,-0.18798
1764853105.9682918,0.7,1.0,-0.21286
1764853105.9682918,0.96,1.0,-0.19767
1764853106.2170084,5.45,1.0,-0.17122
1764853106.2170084,5.19,1.0,-0.03055
1764853106.4043534,4.92,1.0,-0.04364
1764853106.4043534,0.96,1.0,-0.12097
1764853106.5893977,0.96,1.0,-0.17749
1764853106.5893977,0.96,1.0,-0.18201
1764853106.5893977,0.96,1.0,-0.17817
1764853106.8386056,0.7,1.0,-0.18617
1764853106.8386056,0.7,1.0,-0.18602
1764853107.0237894,0.7,1.0,-0.18762
1764853107.0237894,0.44,1.0,-0.1849
1764853107.2105489,0.7,1.0,-0.18167
1764853107.2114837,0.7,1.0,-0.17861
1764853107.3989267,0.7,1.0,-0.17859
1764853107.3989267,0.7,1.0,-0.17835
1764853107.6317186,0.7,1.0,-0.18101
1764853107.632737,0.7,1.0,-0.18092
1764853107.81176,0.7,1.0,-0.17856
1764853107.81176,0.7,1.0,-0.17368
1764853108.0200593,0.7,1.0,-0.16855
1764853108.0200593,0.44,1.0,-0.16678
1764853108.2385383,0.7,1.0,-0.16511
1764853108.2385383,0.44,1.0,-0.16426
1764853108.424605,0.7,1.0,-0.16379
1764853108.424605,0.7,1.0,-0.1636
1764853108.670762,0.17,1.0,-0.16575
1764853108.670762,0.09,1.0,-0.17325
1764853108.8422217,0.17,1.0,-0.18094
1764853108.8422217,0.17,1.0,-0.18471
1764853109.0286431,0.17,1.0,-0.18562
1764853109.0286431,0.17,1.0,-0.18952
1764853109.2665825,0.17,1.0,-0.19443
1764853109.2665825,0.17,1.0,-0.19898
1764853109.4476085,1.49,1.0,-0.14625
1764853109.4476085,3.34,1.0,-0.15161
1764853109.6369958,3.6,1.0,-0.09066
1764853109.6369958,3.34,1.0,-0.09731
1764853109.884872,3.34,1.0,-0.09403
1764853109.884872,3.34,1.0,-0.09195
1764853110.0724275,3.6,1.0,-0.0919
1764853110.0724275,3.6,1.0,-0.09422
1764853110.2597146,3.34,1.0,-0.10325
1764853110.2597146,3.6,1.0,-0.11884
1764853110.4461792,3.6,1.0,-0.09737
1764853110.4461792,3.34,1.0,-0.10926
1764853110.6948688,3.34,1.0,-0.11662
1764853110.6948688,3.34,1.0,-0.10397
1764853110.8809915,3.34,1.0,-0.08953
1764853110.8809915,3.6,1.0,-0.08108
1764853111.0684626,3.34,1.0,-0.07851
1764853111.0684626,3.6,1.0,-0.08147
1764853111.3014123,3.6,1.0,-0.08335
1764853111.3014123,3.34,1.0,-0.08222
1764853111.4678977,3.34,1.0,-0.07889
1764853111.4678977,3.34,1.0,-0.07871
1764853111.690365,3.34,1.0,-0.07263
1764853111.690365,3.34,1.0,-0.0684
1764853111.8764324,3.6,1.0,-0.06683
1764853111.8764324,3.34,1.0,-0.06649
1764853112.063953,3.34,1.0,-0.06614
1764853112.063953,3.34,1.0,-0.06528
1764853112.3122253,3.6,1.0,-0.06423
1764853112.3122253,3.6,1.0,-0.06282
1764853112.4999187,3.34,1.0,-0.06337
1764853112.4999187,3.34,1.0,-0.0617
1764853112.6854017,3.34,1.0,-0.07856
1764853112.6863968,3.34,1.0,-0.15694
1764853112.8734639,3.34,1.0,-0.28591
1764853112.8734639,9.41,1.0,-0.51073
1764853113.1224413,19.97,1.0,-0.68459
1764853113.1234152,33.16,1.0,-0.60639
1764853113.309531,44.78,1.0,-0.57486
1764853113.309531,51.11,1.0,-0.65838
1764853113.496353,54.54,1.0,-0.78773
1764853113.496353,54.28,1.0,-0.77886
1764853113.6847942,54.28,1.0,-0.67724
1764853113.6847942,54.28,1.0,-0.60033
1764853113.9321265,54.28,1.0,-0.59103
1764853113.9321265,54.28,1.0,-0.59321
1764853114.1189961,54.28,1.0,-0.55394
1764853114.1189961,54.28,1.0,-0.48592
1764853114.290557,54.28,1.0,-0.45418
1764853114.2914822,54.28,1.0,-0.44535
1764853114.5413558,54.01,1.0,-0.41171
1764853114.5413558,54.28,1.0,-0.38408
1764853114.7285554,54.28,1.0,-0.37293
1764853114.7294185,50.85,1.0,-0.42764
1764853114.914415,50.85,1.0,-0.4682
1764853114.914415,50.58,1.0,-0.45185
1764853115.1033068,50.58,1.0,-0.42865
1764853115.1033068,50.58,1.0,-0.4302
1764853115.1033068,50.32,1.0,-0.39428
1764853115.3503182,49.53,1.0,-0.31264
1764853115.3512485,46.1,1.0,-0.22476
1764853115.5386708,40.03,1.0,-0.19154
1764853115.5386708,33.69,1.0,-0.16855
